epoch,acc,loss,val_acc,val_loss
0,0.45555555820465088,0.91168030765321517,0.5624999925494194,0.6836802214384079
1,0.5444444451067183,0.71118897199630737,0.5625,0.68654407560825348
2,0.51111111707157564,0.71591434213850236,0.52500000596046448,0.68873926997184753
3,0.57222221957312691,0.66368816296259558,0.61249999701976776,0.67038460075855255
4,0.64444443914625382,0.64045919974644983,0.55000001192092896,0.71496020257472992
5,0.6611111097865634,0.61531761619779801,0.53749999403953552,0.6714424192905426
6,0.84444445371627808,0.46109003822008771,0.53749999403953552,0.69924856722354889
7,0.77777777115503943,0.45094836420483059,0.48750000447034836,0.95537936687469482
8,0.89444444576899207,0.28997653805547291,0.53750000894069672,0.76595750451087952
9,0.9611111018392775,0.18978505664401585,0.47500000149011612,0.88463500142097473
