epoch,acc,loss,val_acc,val_loss
0,0.53333333465788102,0.72743390666113961,0.53750000149011612,0.75660237669944763
1,0.70555556482738924,0.59693846768803072,0.79999999701976776,0.52382834255695343
2,0.81111111243565881,0.36376143164104885,0.70000000298023224,0.53494002670049667
3,0.9611111018392775,0.1665161227186521,0.73749999701976776,0.69949238002300262
4,0.97777777247958708,0.12866462435987261,0.86250001192092896,0.47137052938342094
5,0.97777777247958708,0.085521388385030955,0.875,0.46547457948327065
6,1.0,0.054249853413138122,0.88750000298023224,0.3982243612408638
7,0.99444444311989677,0.039479862743367754,0.88749998807907104,0.29853141494095325
8,0.99444444311989677,0.031256674426711269,0.85000000894069672,0.49933876097202301
9,1.0,0.042884944938123226,0.83750000596046448,0.57476422190666199
10,1.0,0.0065304279430872863,0.88749998807907104,0.59476946108043194
11,0.98333332935969031,0.029298278347899515,0.89999999105930328,0.32915262132883072
12,0.97777777910232544,0.061802108047737017,0.92499999701976776,0.39547055400907993
13,1.0,0.0096354758910213913,0.875,0.68964202702045441
